优化后, 优化前
# cleveland
6.583376407623291, 5.9103381633758545
5.583319187164307, 6.46737003326416
5.899337291717529, 6.2723588943481445
6.2713587284088135, 6.238356828689575

# ionosphere
17.518002033233643, 16.208927154541016
15.819905042648315, 16.268930435180664
14.05380368232727 , 17.082977056503296
15.264873266220093, 15.438882827758789
15.409881353378296, 17.66601037979126

# LSVT
80.16958522796631, 92.07526659965515
75.25730419158936, 79.53654932975769
107.31013774871826, 113.1754732131958
106.07406711578369, 98.20261669158936
